Name,Damage,Tags,Range,Max Range,Cost,Magazine,Ammo/Power,Attribute,Tech,Enc,Class,Description,Notes,Source
Unarmed Attack,1d2,,-,-,-,-,-,Str/Dex,--,0,Punch,Time for some good ol' fashioned fisticuffs!,,Official
Knife,1d4,,6,9,5,-,-,Str/Dex,0,1,Melee,"Knives are normal equipage for primitive worlds. The worlds most lacking in metal deposits or skill might be forced to rely on stone weaponry, which might be so fragile as to break on a natural roll of 1 on an attack.",,Official
Spears,1d6,,10,20,8,-,-,Str,0,1,Thrown,"Spears are normal equipage for primitive worlds. The worlds most lacking in metal deposits or skill might be forced to rely on stone weaponry, which might be so fragile as to break on a natural roll of 1 on an attack.",,Official
Club,1d4,,-,-,-,-,-,Str,0,1,Melee,"Clubs are normal equipage for primitive worlds. The worlds most lacking in metal deposits or skill might be forced to rely on stone weaponry, which might be so fragile as to break on a natural roll of 1 on an attack.",,Official
Primitive Bow,1d6,,50,75,15,-,-,Dex,1,2,Projectile,"Primitive bows are usually fashioned of gut, glue, wood, horn, and other natural components all carefully crafted to hold together under hard use.",,Official
Sword,1d8,,-,-,20,-,-,Str/Dex,1,1,Melee,"Swords are normal equipage for primitive worlds. The worlds most lacking in metal deposits or skill might be forced to rely on stone weaponry, which might be so fragile as to break on a natural roll of 1 on an attack.",,Official
Hyperalloy Scythe,1d8+1,,3,6,25,-,-,Str/Dex,1,2,Melee,"Some societies never really developed the sword as we know it and instead use something like a scythe. This is a scythe-weapon made with advanced metallurgical technology. The blade is stronger, more flexible and holds an edge better than a conventional steel tool. It is also immune to rust (but not to the rust-like effects of metal-eating viruses). This one is made specifically for combat, but it is also superb for reaping wheat.",,External
Greatsword,2d6,,-,-,30,-,-,Str,1,2,Melee,"Greatswords are normal equipage for primitive worlds. The worlds most lacking in metal deposits or skill might be forced to rely on stone weaponry, which might be so fragile as to break on a natural roll of 1 on an attack. Greatswords are large and unwieldy, requiring two hands for use.",,Official
HyperIce Shortsword,1d8+3,,-,-,85,-,-,Str/Dex,1,4,Melee,"A short, stabbing focused blade, made from supercooled ice. It is as sharp as broken glass and leaves nothing but water traces in the victim's wounds. Virtually untraceable, hyperice blades are almost exclusively used as tools for assassination and are therefore difficult to buy in most organized societies.
A power cell keeps the blade frozen for 24 hours. Regrowing the blade is a longer and more involved process. It requires a supply of clean (preferably distilled) water and about thirty minutes to freeze a new blade. A blade-shaped mold comes with the weapon at no extra cost, but it’s easy to improvise one if the original gets lost.",,External
Double Sided Axe,1d8+Str.Mod,,-,-,40,-,-,Str/Dex,2,2,Melee,"A huge, brutal weapon with a double sided axe-blade at its top. The blades are extremely sharp, which makes it a brutal weapon in close combat. It’s a tricky weapon to carry safely with its exposed blades. If a user handles this weapon without care, it is possible to end up cutting themselves or even severing a limb.",,External
Advanced Bow,1d6,,100,150,50,-,-,Dex,3,2,Projectile,Modern components allow advanced bows to greatly increase this weapon’s effective range.,,Official
Stun Baton,1d8,nonlethal,-,-,50,-,-,Str,3,1,Melee,"Stun batons are popular among the police forces of most technically advanced worlds, using impact to trigger a discharge of nonlethal electricity. A Type A power cell will fuel a stun baton for up to forty successful hits. The batons themselves are flexible and ineffective as bludgeons. A target brought to 0 hit points by a stun baton is rendered unconscious rather than dead, and will recover any hit points lost to the baton within an hour. Batons can be used to kill, but it requires extensive beating of an already-unconscious target.","Damage done by a stun baton can leave a target unconscious, but will not kill them.",Official
Shucker Prod,1d12,,-,-,50,-,-,Str/Dex,3,1,Melee,"On more than one world the locals have found themselves forced to face military forces equipped with armor far in advance of the available native weapon technology.
The “shucker prod” is one of the more common low-tech responses. ",,Supplementary
Monoblade,1d8+1,,6,9,50,-,-,Str/Dex,4,1,Melee,"Monoblades are a family of bladed weapons ranging from monomolecular knives to chainswords. While the wounds they inflict aren’t much more terrible than their unpowered brethren, they can affect even those targets wearing advanced armor.",,Official
Suit Ripper,1d6,,-,-,75,-,-,Str,4,1,Melee,Suit rippers are rods that blossom into mace-like balls of fractal razors designed to overwhelm a vacc suit’s self-sealing properties. A character with 10 or fewer hit points struck by a suit ripper always suffers a tear in their suit. Possession of these devices is normally a capital offense in space.,,Official
Kinesis Wraps,1d2+2,,-,-,100,-,-,Str/Dex,4,1,Punch,"Kinesis wraps are special metaplast gloves, boots, or knuckle dusters that translate the user’s blows into very focused impact points. A person using kinesis wraps can injure even those targets who are wearing advanced armor that would normally render them immune to fisticuffs. Fighting with kinesis wraps uses the Unarmed skill.",,Official
Power Fist,2d6,,6,9,200,-,-,Str,4,2,Punch,"A Power Fist (also known as a Power Glove) is a large metal gauntlet surrounded by an energy field that disrupts solid matter. It is large and slow in combat, and so the bearer must be willing to take damage before they can strike back. The benefits of the power fist are that it increases the user's strength, much like Power Armour due to the extra power put in by the electronics designed to allow it to move.",,External
Lightning Claw,3d6,,9,16,250,-,-,Str,4,2,Punch,A Lightning Claw is a specialized type of Power Fist. It consists of a power gauntlet and four blades attached to the gauntlet's fingers that crackle with matter-disruptive energy. These blades are the equivalent of small power weapons which carve through flesh with ease. They are most commonly used by Heavy Assault Squads.,,External
Crozius Arcanum,"1d6 Physical
2d6 Psychic",,50,100,350,-,-,Str/Dex,4,1,Psitech,"The Crozius Arcanum serves as both a sacred staff and as a weapon for Psychics. This duality is perceived as only natural to warrior Psychics, who sees battle as the most glorious chance to use their powers. The Crozius Arcanum itself is a staff or mace of medium length, topped with a winged skull emblem of the Terra Mandate, a long forgotten Terra government.
Along the physical use, Crozius Arcanum is also a psyche enhansing tool which allows the user to wield powers similar that to Pavonae Cult.",,External
Chronal Burner,Special,,-,-,580,2,Type A,Dex,4,1,Special,"This hand-held temporal weapon pulses random chronon bursts through its emissions aperture, slagging high-tech equipment in front of it. While the effects of the temporal alteration are almost imperceptible on a macroscopic scale, the flux of universal constants within sophisticated TL 5 equipment runs a 75% chance of ruining it, while TL 4 equipment suffers a 50% chance of being bricked. The burner is ineffective against devices larger than hand-held equipment, but ignores armor for purposes of determining the AC necessary to hit a character’s equipment. A burner can only destroy one item at a time. A chronal burner is only effective within melee range and gets only two shots off a single type A cell.",,Supplementary
Chain Axe,1d10+Str.Mod,,6,9,750,-,-,Str,4,2,Melee,"Ignores T3 and lower armor.
The Chainaxe is the favored weapon of the Berzerkers. It takes the form of an axe with motorized chainsaw teeth and is able to tear through both flesh and armor with relative ease.",,External
Chain Sword,1d10+Dex.Mod,,6,9,750,-,-,Dex,4,1,Melee,"Ignores T3 and lower armor.
A Chainsword is essentially a sword with motorized teeth that run along the blade like those of a chainsaw. Most versions make use of monomolecular-edged or otherwise razor sharp teeth. The weapon makes an angry buzzing sound as the teeth spin around, intensifying into a high pitched scream as they grind into armor.",,External
Double Sided Chainsword,1d10+Dex.Mod,,6,9,900,-,-,Dex,4,1,Melee,"Favored by gladiators, criminally insane and Space Marines, this weapon is the ultimate in gore-excess. With an open chainsaw blade at either sides of the sword, it is only slightly less dangerous to the wielder than to their opponent.","This weapon can ignore any T4 armor, but at a cost, if the user causes damage to the target, user must take 1/4th (rounded up) of the damage caused.",External
Vibroblade,1d12,,-,-,300,5 minutes,-,Dex,5,1,Melee,"Also known as a power blade, this short, wide bayonet vibrates at just the right harmonic frequency to cut through bone and flesh like a charm. It penetrates armor even better and does even more damage than a hypersharp, monowire edged blade.",,External
Nanoknife,1d12+1,,6,9,370,5 minutes,-,Str/Dex,5,0.5,Melee,"A general-purpose tool for disassembling solid objects, the nanoknife abandons sophisticated energy manipulation in favor of a very, very sharp edge. An inert knife may look like anything, but when triggered, a blade springs into existence between twelve and one hundred centimeters in length. Nanoknives never break or dull, and can chew through any postech material and most pretech ones with a minute of undisturbed carving. ",,Supplementary
Eviscerator,2d10+4,,6,9,1500,-,-,Str/Dex,5,3,Melee,"Eviscerator ignores all T4 and lower armor and can also deal 1d10 damage to heavy armor.
An Eviscerator is a form of obscenely oversized chainsword, that is so abnormally large that it can only ever be wielded in combat effectively with both hands or single handed if the user wears Power Armor. It can deal horrible wounds to living beings and even break walls or damage vehicles' armor.",,External
Textronix Model Ultra,1d20,,6,9,4500,5 minutes,-,Dex,5,2,Melee,"Another attempt to meld vibroblade technology with hypersharp weapons. This one actually works, but it's far too expensive to ever go into general production. It looks a little like a small glaive, with a large rectangular blade mounted at the end of a metal pole.
The blade is made from complex many-layered synthetic materials, designed for exactly the right combination of strength and flexibility to resist the stress caused by the vibrating hyperwire. The wire itself is set on a pair of internal spools and lengthens and contracts with the vibration of the blade.",Special: Adds +3 to the hit chance,External
Quantum Mass Sword,2d12+4,,6,9,N/A,-,-,Str,5,3,Melee,"Do you want to hurt people? Sure, we all do! And with the amazing new Quantum Mass Sword from Slamco, it's never been easier. Built around a core of Hyperdense Matter, it would be way too heavy to lift without its handy built-in antigravity projector. Easy to pick up, it loses none of its colossal mass, which you can put to work on your enemies in the form of Awesome, Unstoppable Cleavage! It hits as hard as a truck and it’s as sharp as a razor. Available for a limited time, not sold in stores, act now and put the power of Hyperdense matter to work on folks you don't like today!",,External
Dimensional Blade,2d6+2,,30,30,N/A,-,-,Str/Dex,5,1,Melee,"Modern researchers admit a certain puzzlement over the original purposes of a dimensional blade, as such hyper-advanced spatial technology would seem to be overkill for creating a personal melee weapon. ",,Supplementary
Energy Vortex Sump,N/A,nonlethal,10,30,N/A,-,-,N/A,5,1,Thrown,"These grenade-like devices drain nearby energy cells, siphoning their contents uselessly away into the metadimensional void. ",,Supplementary
Polymorphic Sheath Weapon,2d6,,3,3,N/A,-,-,Str/Dex,5,1,Punch,"These implements most often appear as single glossy black gloves that automatically fit snugly around the wearer’s hand and forearm, including those sheathed by a vacc suit or other full-body armor. ",,Supplementary
Revenant Knife,1d12,,10,10,N/A,-,-,Str/Dex,5,1,Melee,"These sinister pretech artifacts may have originally served some religious purpose, but they are more lately used as tools of gruesome murder.",,Supplementary
Thermal Razor,2d8,,-,-,N/A,-,-,Str/Dex,5,2,Melee,"These weapons were most often inspired by industrial cutting tools used to shape thermosensitive plastics and other advanced materials.
In the chaos of the Scream and the ensuing collapse of civilization they were repurposed for more martial ends.",,Supplementary
Control Projector,Special,,5,5,180,2,Type A,Dex,4,1,Energy,"Originally intended to harmlessly subdue unruly citizens, a control projector emits a spray of transmitter nanites that jams the victim’s conscious motor control, though the lack of Links in most modern targets make the projector less effective in the present. The projector fires a cone five meters long and five meters wide at its far end, automatically hitting all targets within the area of effect. Human subjects hit must save versus Tech or be paralyzed for five minutes. Those who save are incompatible with the projector’s neural shutdown protocols, and take 1d8 nerve damage instead each time they are hit by that same projector. The projector fires twice on one type A power cell.",,Supplementary
Laser Pistol,1d6,,25,50,200,10,Type A,Dex,4,1,Energy,"Laser pistols are one of the most common types of energy weapon. The phased multifrequency beam is capable of penetrating any ordinary mist or haze, but a thick cloud of thermally-resistant particulate matter such as ash or sand can seriously degrade the beam, applying up to a -4 penalty to hit and cutting ranges in half.",,Official
Laser Rifle,1d10,burst,300,500,300,20,Type A,Dex,4,2,Energy,"Laser rifles are one of the most common type of energy weapon. The phased multifrequency beam is capable of penetrating any ordinary mist or haze, but a thick cloud of thermally-resistant particulate matter such as ash or sand can seriously degrade the beam, applying up to a -4 penalty to hit and cutting ranges in half.",,Official
Thermal Pistol,2d6,,25,50,300,5,Type A,Dex,4,1,Energy,"Thermal pistols replace the beam of a laser with a small sphere of magnetically-shaped plasma. The spheres tend to dissipate at much shorter ranges than a laser beam, but do significantly more damage to targets within range and are not affected by ambient particulates.",,Official
Hellgun,2d6+Str.Mod,burst,100,300,400,20,Type A,Str,4,2,Energy,"Uses A Power Cells as ammo. 1 cell = 20 shots.
A Hellgun is a pattern of Lasgun that possesses a more advanced and powerful laser plasma generation system intended to provide more energetic laser fire on-target. This makes the Hellgun superior in both range and power output compared to the standard-issue Lasgun. However, the higher power output requires a use of superior quality power cells.",,External
Plasma Projector,2d8,,50,100,400,6,Type A,Dex,4,2,Energy,"Plasma projectors, the larger cousins of thermal pistols, replace the beam of a laser with a small sphere of magnetically-shaped plasma. The spheres tend to dissipate at much shorter ranges than a laser beam, but do significantly more damage to targets within range and are not affected by ambient particulates.",,Official
Hellpistol,1d8,,25,50,500,10,Type A,Dex,4,1,Energy,"Uses A Power Cells as ammo. 1 cell = 20 shots.
The Hellpistol is a more deadly weapon and only slightly heavier than the Laser pistol. However, it is also more expensive in terms of the materials and manpower required to manufacture it.",,External
Las Carbine,1d10,burst,300,500,750,20,Type A,Dex,4,1,Energy,"Uses A Power Cells as ammo. 1 cell = 20 shots.
The Lascarbine is a carbine form of the standard Laser Rifle that is easier to carry and to aim than its larger counterpart. It will often possess a folding stock.",,External
Long Las Sniper,1d10+3,,1000,2000,1000,12,Type A,Dex,4,2,Energy,"Uses A Power Cells as ammo. 1 cell = 20 shots.
Favoured by Sharpshooters, the Long-Las is a specially modified version of the Laser Rifle constructed for added range and accuracy. As its name implies, a Long-Las also has a much longer barrel than a standard Laser Rifle, sometimes being up to twice the length, which makes it awkward in close quarters.",,External
Multilaser,2d10,"long_reload, suppress",120,350,8000,30,Type B,Str,4,2,Energy,"Uses Type B Power Cells as ammo. 1 cell = 60 shots.
Uses A Power Cells as ammo. 1 cell = 20 shots.
The Multi-Laser is a rapid-fire heavy Laser Weapon, ideal for destroying lightly-armoured vehicles or infantry formations. Due to its power requirements and weight, it is usually mounted on vehicles or platforms for best effect.",,Official
Shear Rifle,2d8,burst,100,300,600,10,Type A,Dex,5,2,Energy,"Shear rifles are the product of a relatively few functioning pretech manufactories on those worlds that never entirely lost their pre-Silence industrial capacity. These weapons use miniaturized grav projectors to create dangerous repulsor fields inside a target, tearing the object apart along perfectly smooth planes. Shear rifles are perfectly silent in operation and ignore ambient particulates.",,Official
Thunder Gun,2d10,,100,300,1000,6,Type A,Dex,5,2,Energy,"Thunder guns are named for the basso vibrations caused by their operation, a sound that can be felt as far as thirty meters away from an operator. This two-handed weapon uses grav plates to create rapid, randomized disruptions in a target that increase the chance of complete structural collapse. If a thunder gun user hits a target with an unmodified hit roll of 19 or 20, an extra 1d10 damage is rolled.",,Official
Distortion Cannon,2d12,,100,300,1250,6,Type A,Dex,5,2,Energy,"Distortion cannons are among the most sophisticated manportable weapons designed before the Scream. These two-handed energy weapons rely on the same principle as does a spike drive, manipulating the underlying fabric of space to disrupt a target. Provided the wielder can see a target within range or accurately fix its location within one meter, the distortion cannon ignores up to one meter of solid cover between the gun and its target.",,Official
Biocatalytic Induction Gun,2d8+2,,50,100,N/A,6,Type A,Dex,5,2,Energy,"A horrific weapon that appears to have been developed as a “conventional” offshoot of the cancer gun research of the later Second Wave, the BIG fires bolts of autogenerated carrier nanites, fueling their construction with a Type A power cell.",,Supplementary
Flop Rifle,2d6,,100,300,N/A,6,Type A,Dex,5,2,Energy,"A favored police and personal arm on some worlds, the flop rifle uses phased energy charges to briefly overwhelm the nervous system of a living target, reducing it to boneless helplessness. ",,Supplementary
Gravitic Lockdown Projector,2d6,nonlethal,200,600,N/A,5,Type A,Dex,5,2,Energy,"The rifle-sized “gulp gun” increases certain friction coefficients and disrupts standard gravitic engines, causing vehicles and other complex machinery to grind slowly to a halt. ",,Supplementary
Micro Anti-Vehicle Laser,1d6+1,,100,300,N/A,6,Type A,Dex,5,1,Energy,"This pistol-sized weapon emits a very small-diameter, coherent beam of light that does relatively little damage to organic targets.
The laser is tuned to penetrate most conventional forms of vehicle armor and other solid obstructions, however, and does twice the listed damage against inorganic targets. ",,Supplementary
Riftcutter,N/A,nonlethal,50,100,N/A,Special,Type A,Dex,5,2,Energy,"Originally intended for the quick creation of battlefield barriers, the riftcutter emits a beam of catalyzing force that briefly triggers a metadimensional energy rift across nearby terrain. ",,Supplementary
Symbiote Gun,2d6,burst,100,300,N/A,25,Type A,Dex,5,1,Energy,"A beetle-like crystalline creature somewhat shorter than a human forearm, the symbiote gun is meant to be worn like a bracer by the wielder.
Its numbing proboscis draws sustenance from the wielder’s blood, with that energy powering the bug’s laser emissions.",,Supplementary
Mortar,3d6,,1000,2000,2000,1,Special,Int/Wis,2,10,Gunnery,"The old ways are the best ways at times- especially when a world lacks the technology for more sophisticated indirect-fire weapons.
Ordinary tube mortars can be fabricated by any TL2 world with an adequate gunpowder analog available. ",,Supplementary
Grenade Launcher,Special,,100,300,3000,5,Grenade,Dex,3,2,Gunnery,"When a good throwing arm isn’t sufficient, a grenade launcher can be used with either the Combat/Projectile or Combat/Gunnery skill. ",,Supplementary
Rocket Launcher,3d10,,2000,4000,4000,1,Rocket,Dex,3,2,Gunnery,"Rocket launchers cover a wide variety of man-portable missile launchers of varying degrees of sophistication. The weapons are usually equipped with basic tracking sensors, but are of limited accuracy against human-sized targets. Rocket launchers take a -4 hit penalty against targets of human size or smaller. Unlike most Gunnery weapons, rocket launchers can be shoulder-fired without a prepared emplacement to support them.",,Official
Heavy Machine Gun,3d6,suppress,500,2000,5000,10,Bullet,Dex,3,3,Gunnery,"Heavy machine guns represent a large family of air- or watercooled projectile weapons that are usually fed with belts of linked ammunition. HMGs require a vehicle mounting or emplaced firing position for best results. Attempting to shoot one without bedding it down properly on a tripod or other secure mount inflicts a -6 on all hit rolls and makes effective suppressive fire impossible. An HMG magazine contains enough ammunition for 10 rounds of firing, but each round of firing requires 25 credits worth of projectile ammunition.",,Official
Railgun,3d8,suppress,1000,2000,8000,20,Bullet,Dex,4,*,Gunnery,"Railguns are simply scaled-up versions of personal mag rifles. They accelerate large metallic slugs along the weapon’s barrel, creating a steady spray of hypervelocity rounds. Ammunition sufficient for one round of firing costs 50 credits.",Vehicle-mounted or emplaced position only,Official
Firefall Launcher,3d6,,500,2000,8000,1,Bullet,Dex,4,2,Gunnery,"This heavy gun is man-portable, if barely, though it can be fired no more than once every two rounds unless steadied by a bipod or similar rest.",,Supplementary
Anti-Vehicle  Laser,3d10,,500,1000,10000,15,Type B,Dex,4,*,Gunnery,"Anti-vehicle lasers are less useful against soft targets, but excel at penetrating vehicle armor. Any 1s on the damage dice are rerolled when shooting at a hard armored target.",Vehicle-mounted or emplaced position only,Official
Wheatcutter Belt,2d12,,10,20,10000,5,Bullet,Dex,4,*,Gunnery,"Wheatcutter belts are one of several different antipersonnel measures often installed on gravtanks and other fighting vehicles. When triggered, a belt of explosives fires off a scything blast of shrapnel on any side of the vehicle. All creatures within 10 meters of that side of the vehicle must make an Evasion save for half damage. Those within 20 meters take half damage, and can make an Evasion save to take none at all. Wheatcutter belts do not ignore a vehicle’s Armor like other Gunnery weapons do. Reloading a wheatcutter belt costs 200 credits per round.",Vehicle-mounted or emplaced position only,Official
Lance Cannon,2d8,long_reload,800,2000,18000,2,Special,Str/Dex,4,*,Gunnery,"A huge, bulky, bipod-mounted device, it launches 2 meter long compressed titanium metal spikes at its target that are meant to do some major damage to enemy’s vehicles and their crew. It has some real advantages in combat--the weapon is nearly silent and produces no chemical or energy signature. Its chief drawback is its size. The barrel is about 3 long and a huge magazine rests on top of the firing mechanism. It takes a full round to reload this monster, even if all the spikes have already been slotted into the giant magazine.",Vehicle-mounted or emplaced position only,External
Hydra Array,3d6,suppress,2000,4000,20000,10,Special,Dex,4,*,Gunnery,"Hydra arrays sequence a number of missile launchers to fire at once. The gunner designates up to three targets and can then make three rolls to hit divided among them. Each successful hit on a target allows the gunner to roll damage once, but only the highest damage roll is applied to the target A round of Hydra missile fire costs 150 credits.",Vehicle-mounted or emplaced position only,Official
Auto-Cannon,3d6,"suppress, long_reload",800,3000,25000,40,Special,Str,4,*,Gunnery,"A .30mm autocannon, most commonly used by fighter aircraft, but can be mounted on heavier vehicles as well. You also sometimes find these huge multibarrel weapons on the battlefield in a support roll. It is in effect a giant machine gun which fires massive exploding bullets. Getting hit by one is just about certain death for any human being.
It takes two rounds to completely reload this weapon and two people to operate it. The gunner's assistant just drops more shells in the ammo hopper and checks to make sure they're properly aligned.","This weapon is capable of Autofire. It can target a 3 by 3 area. The targeted area has an effective Armor Class of 10. If the attack succeeds, every target within the affected area must make a Physical Save or take the weapon’s damage. Autofire uses up 10 rounds, and can only be used if the weapon still has 10 rounds left in it.

Vehicle-mounted or emplaced position only",External
Seeker Drone Launcher,3d6,,1000,2000,N/A,1,Special,Int/Dex,4 / 5,2,Gunnery,"These weapons are relatively rare, as the quantum scramblers of the modern battlefield disrupt most targeting system and leave guided missiles blind.
Still, the TL4 version of the seeker is occasionally useful on more primitive worlds, and the rare TL5 pretech relics are immune to TL4 jammers. ",,Supplementary
Magnetic Needle Cannon,3d12,,1000,2000,45000,40,Special,Str,5,*,Gunnery,"A heavy gauss-gun support weapon. It projects a continuous stream of needles across the field and can make single, area, or cone-shaped attacks. It is absolutely devastating to closely packed troops. No one wants to look at a battlefield after a Needle Cannon attack. It is usually seen mounted on a tank, an armored car or a helicopter.","Can attack a single target, a 3 by 3 wide
square or a 10 meter cone. Anyone caught in its area of attack can make a Reflexes Saving Throw vs. DC 20 to take half damage.

Vehicle-mounted or emplaced position only",External
Vortex Cannon,5d12,,1000,2000,75000,5,Type B,Dex,5,*,Gunnery,"Vortex cannons use controlled gravitic shear planes to cause a target to simply fall apart into component fragments. The cannons are silent in operation, but so heavy that they can only be mounted on gravtanks and other similar dedicated fighting vehicles.",Vehicle-mounted or emplaced position only,Official
Automatic Matter Forge,3d6,suppress,500,2000,N/A,20,Bullet,Dex,5,3,Gunnery,"A weapon of deceptively simple appearance, the AMF looks much like a standard heavy machine gun, requiring at least a bipod mount to be fired effectively. ",,Supplementary
Biocatalytic Induction Gun,2d8+2,,50,1000,N/A,6,Type A,Dex,5,2,Gunnery,"A horrific weapon that appears to have been developed as a “conventional” offshoot of the cancer gun research of the later Second Wave, the BIG fires bolts of autogenerated carrier nanites, fueling their construction with a Type A power cell.",,Supplementary
Phased Disruption Lance,2d12,,500,1000,N/A,5,Type B,Dex,5,3,Gunnery,"This heavy gunnery weapon requires at least a tripod mount for operation and a Type B power cell to fuel it.
When activated, a coruscating beam of metadimensional energy gouges a deep divot in any solid objects between the lance and its maximum range. ",,Supplementary
Portable Autonomic Beam Emitter,1d10,,50,100,N/A,-,Type A,N/A,5,1,Gunnery,"This softball-sized device requires a Type A cell to operate, and functions for up to 10 rounds on a single cell.
To trigger it, the wielder spends one action designating up to a dozen visible targets before releasing the emitter, which promptly unfolds into a small levitating beam platform. ",,Supplementary
Gauss Pistol,1d6,burst,50,100,200,20,Type A,Dex,5,1,Gauss,"A generic template for an early gauss pistol. It fires a stream of ultra-sharp needles at superhigh speed, makes no noise and leaves no chemical or energy signature for a sensor to detect. Its rate of fire is so high that there isn't any sense measuring it in conventional terms. Because it only fires bursts (just touching the trigger will fire off two or three needles).","These Gauss Weapons only burst fire, adding standard burstfire bonus, but consuming 5 ammo instead.",External
Gauss Pistol X-7 Model,1d8,,50,100,280,5,Type A,Dex,5,1,Gauss,"A very small gauss-pistol, which holds only enough needles for a few short bursts. It's nearly flat, and curved so as to fit the shape of the user's body. Any search rolls made to find this weapon suffer a -2 penalty. Like all gauss-weapons of its period, it has a lot of accuracy and stopping power, but little penetration against armor.","These Gauss Weapons only burst fire, adding standard burstfire bonus, but consuming 5 ammo instead.",External
Blue Suns Gauss Rifle,1d10,burst,500,1000,750,50,Type A,Dex,5,2,Gauss,"A generic military gauss rifle. It uses a magnetic accelerator to launch a stream of thin steel needles at a very high rate of fire, but is nearly silent. Gauss rifles are usually seen as sniper weapons but some armies use them as infantry rifles. Tremendously effective at damaging soft fleshy targets, a gauss-rifle is ineffective against armored opponents--the needles are brittle and tend to shatter when they strike an unyielding surface.","These Gauss Weapons only burst fire, adding standard burstfire bonus, but consuming 5 ammo instead.",External
Model Orion Gauss Rifle,1d12,,500,1000,850,25,Type A,Dex,5,2,Gauss,"Gauss weapons make superb sniper rifles, but they aren't nearly as good for hunting. They may have excellent range but they will rip a squirrel or a bird to pieces and have a tendency to mar other trophies as well. This rifle is an attempt to make gauss weapons more suitable. It has only single fire option.","These Gauss Weapons only burst fire, adding standard burstfire bonus, but consuming 5 ammo instead.",External
